APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,FOA_NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,TOTAL_COST_SUB_PROJECT
9379417,K23,MH,5,N,11/17/2017,11/1/2017,10/31/2018,242,K23MH103396,SCHOOLS OF MEDICINE,PA-14-049,5K23MH103396-04,NIMH:180992\,OTHER RESEARCH-RELATED,2018,NATIONAL INSTITUTE OF MENTAL HEALTH,,BOSTON,UNITED STATES,PSYCHIATRY,7,604483045,US,894901,BOSTON UNIVERSITY MEDICAL CAMPUS,MA,21182340,"PUBLIC HEALTH RELEVANCE: The Unified Protocol is a treatment that targets common underlying symptoms of emotional disorders. By studying the feasibility of this treatment in routine clinical settings, we will better understand its potential for widespread implementation. I effective, this treatment has the potential to decrease the amount of treatment necessary for individuals with multiple disorders.",11550599; ,"GUTNER, CASSIDY AUBIN;","HILL, LAUREN D",12/15/2014,10/31/2019,Address; Adult; Aftercare; Anxiety; Anxiety Disorders; base; career; Chronic; Classification; Clinic; Clinical; clinical care; clinical Diagnosis; clinical practice; Clinical Research; common treatment; Comorbidity; Complement; Complex; Consultations; Controlled Study; cost; Data; Depressive disorder; design; Development; Diagnosis; Diagnostic; Direct Costs; Disease; dual diagnosis; effective therapy; Effectiveness; effectiveness clinical trial; effectiveness research; efficacy research; efficacy study; efficacy trial; Emotional disorder; emotional symptom; evidence base; Evidence based treatment; experience; Exposure to; Feasibility Studies; Fostering; General Practitioners; Goals; Health system; Healthcare Systems; Hospitals; Hybrids; implementation science; Individual; innovation; Intervention Studies; Interview; Laboratory Study; Literature; Measurement; Measures; Medical; Mental Depression; Mental disorders; Mental Health; Mentors; Modeling; Moods; Outcome; Participant; Patients; Population; programs; Protocols documentation; psychosocial; Psychotherapy; Public Health; public health relevance; Qualitative Research; Recruitment Activity; Reporting; Research; Research Design; Research Personnel; research study; Research Training; Resources; retention rate; routine care; Sampling; satisfaction; Science; scientific organization; Sequential Treatment; Severities; Specific qualifier value; standard of care; Statistical Data Interpretation; Suicide; Supportive care; Surveys; Symptoms; System; Time; Training; training opportunity; Traumatic Stress Disorders; Treatment Protocols; treatment strategy; Unipolar Depression; ,Effectiveness of a unified transdiagnostic treatment in routine clinical care,103396,SERV,Mental Health Services Research Committee ,,,4,167585,13407,180992,
9379453,R01,AI,5,N,11/18/2017,11/1/2017,10/31/2018,855,R01AI110482,SCHOOLS OF PUBLIC HEALTH,PAR-13-055,5R01AI110482-04,NIAID:810107\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,ATLANTA,UNITED STATES,PUBLIC HEALTH & PREV MEDICINE,5,66469933,US,2384501,EMORY UNIVERSITY,GA,303224250,"PUBLIC HEALTH RELEVANCE: Vaccination of pregnant women can impart health benefits on the unborn and infant child, and increased acceptance of maternal vaccination may lead to increase in acceptability of childhood vaccination. However, maternal vaccination rates are low, and new comprehensive, evidence-based interventions are needed to increase vaccination uptake among pregnant women and their children. We will build off of a prior intervention at the practice, provider, and patient-levels (P3) to develop, implement and evaluate an enhanced intervention (P3+) to improve vaccination uptake among pregnant women, and later, their children.",9085924 (contact); 6579177; ,"OMER, SAAD B. (contact); SALMON, DANIEL A;","GU, XIN-XING",11/5/2014,10/31/2019,1 year old; Address; Age-Months; Area; Attitude; base; Belief; Caring; Cessation of life; Characteristics; Child; Childhood; Clinical; Colorado; Communities; Complex; Contracts; Development; Discipline of obstetrics; Disease; Disease Outbreaks; early childhood; Education; Educational Materials; Evaluation; evidence base; Evidence based intervention; experience; Feedback; Geography; Goals; Gynecologist; Gynecology; Health Benefit; Health Expenditures; Healthcare; high risk infant; Hospitalization; Immunization; improved; Individual; individual patient; Infant; Influenza; innovation; Intervention; Knowledge; Lead; Logistics; Managed Care; maternal vaccination; Medical; Mothers; novel; Parents; Patients; peer; Pertussis; Physicians; Pilot Projects; posters; Pregnancy; pregnant; Pregnant Women; prenatal; prenatal intervention; prevent; Provider; Public Health; public health relevance; Qualitative Research; Questionnaires; Recommendation; Research; Research Design; response; Risk; Savings; secondary outcome; Series; Standardization; success; System; Tablet Computer; Testing; Time; tool; Training; United States; uptake; Vaccinated; Vaccination; Vaccines; Visit; Woman; ,A Comprehensive Pre-Natal Intervention to Increase Vaccine Coverage,110482,DIRH,Dissemination and Implementation Research in Health Study Section ,,,4,663304,146803,810107,
9380963,R01,ES,5,N,11/15/2017,11/1/2017,10/31/2018,113,R01ES023500,SCHOOLS OF MEDICINE,PA-11-260,5R01ES023500-05,NIEHS:608225\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES,,BALTIMORE,UNITED STATES,INTERNAL MEDICINE/MEDICINE,7,1910777,US,4134401,JOHNS HOPKINS UNIVERSITY,MD,212051832,"PUBLIC HEALTH RELEVANCE: Chronic obstructive pulmonary disease (COPD) is a progressive disease characterized by lung injury due to the total burden of toxic gases and particles that individuals inhale during their lifetime, and is the third leading cause of death inthe United States with substantial economic costs, suggesting a large public health burden. We propose to add state-of-the art air pollution exposure assessment to determine individual-level outdoor and indoor air pollution exposure to an ongoing NHLBI-funded study (SPIROMICS), providing an extraordinary opportunity to understand effects of air pollutants on COPD morbidity and progression. Findings from this study can provide specific information for setting public policy and guide clinical management to improve care of individuals with COPD.",6960282 (contact); 1895482; ,"HANSEL, NADIA N (contact); KAUFMAN, JOEL DANIEL;","JOUBERT, BONNIE",2/24/2014,10/31/2018,"Address; air monitoring; Air Pollutants; Air Pollution; ambient air pollution; American; Area; Biological Markers; Biometry; Blood; Breathing; burden of illness; Carbon Black; Caring; Cause of Death; Chronic Obstructive Airway Disease; cigarette smoke; Clinical; Clinical assessments; Clinical Management; cohort; Collaborations; Data; Development; Disease; Disease Marker; disease phenotype; Disease Progression; Dyspnea; economic cost; Enrollment; Environmental Exposure; Environmental Tobacco Smoke; Epidemiology; epidemiology study; experience; Exposure to; Fasting; fine particles; follow-up; Frequencies; Funding; Gases; Genomics; Health; Hospitalization; improved; Incidence; Individual; Indoor Air Pollution; indoor exposure; Indoor pollutant; Light; Link; loss of function; lung injury; macrophage; Measurement; Measures; Modeling; Monitor; Morbidity - disease rate; mortality; National Heart, Lung, and Blood Institute; Nicotine; Nitrogen Dioxide; Nitrogen Oxides; Obstructive Lung Diseases; Outcome; outcome forecast; Ozone; Participant; particle; Particulate Matter; Patient Outcomes Assessments; Patients; Phenotype; population based; Progressive Disease; Prospective cohort study; Proteomics; Public Health; public health relevance; Public Policy; Pulmonary Function Test/Forced Expiratory Volume 1; Pulmonary function tests; Quality of life; Questionnaires; Research; Research Personnel; residence; Respiratory physiology; Respiratory Signs and Symptoms; Risk; Severity of illness; Site; Slide; Smoker; spatiotemporal; Sputum; Subgroup; Sulfur Dioxide; Symptoms; Testing; Time; traffic-related air pollution; United States; Walking; ",SPIROMICS - Air Pollution Study,23500,IRAP,"Infectious Diseases, Reproductive Health, Asthma and Pulmonary Conditions Study Section ",,,5,462164,146061,608225,
9382870,F31,HD,5,N,11/10/2017,11/16/2017,11/15/2018,865,F31HD088102,SCHOOLS OF MEDICINE,PA-14-147,5F31HD088102-02,NICHD:35186\,"TRAINING, INDIVIDUAL",2018,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,,LOS ANGELES,UNITED STATES,NONE,33,92530369,US,577505,UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,900952000,"PUBLIC HEALTH RELEVANCE: These studies aim to investigate the functional and structural networks underlying language acquisition in the infant brain, and to further examine how genetic risk may modulate activity and connectivity within language- relevant brain networks. Findings from this research will provide insight into the neural mechanisms underlying language learning in typical development and ultimately inform early detection of altered developmental trajectories which, in turn, could lead to more effective interventions for developmental disorders characterized by language impairment.",12403828; ,"LIU, JANELLE ;","ALVAREZ, RUBEN P",11/16/2016,11/15/2019,Achievement; Address; Affect; Age-Months; Alleles; Anterior; Architecture; Area; Attention; Auditory; autism spectrum disorder; base; Base of the Brain; behavior measurement; Behavioral; behavioral outcome; behavioral study; Biological Neural Networks; Brain; brain abnormalities; Brain region; capsule; CNTNAP1 gene; cohort; Corpus striatum structure; Cues; Data; Detection; Development; developmental disease/disorder; Diffusion Magnetic Resonance Imaging; Dyslexia; Early Diagnosis; Early Intervention; effective intervention; Fiber; Functional Magnetic Resonance Imaging; General Population; Genes; Genetic; Genetic Polymorphism; Genetic Risk; genetic risk factor; Genotype; high risk; indexing; Individual; infancy; Infant; insight; Japanese Population; Knowledge; Language; Language Delays; Language Development; Language Development Disorders; Language Disorders; language impairment; language processing; Lead; Learning; learning network; Linguistics; Link; longitudinal design; Magnetic Resonance Imaging; Measures; Methods; multimodality; neural circuit; neural correlate; Neurobiology; neurodevelopment; Neurodevelopmental Disorder; neuroimaging; neuromechanism; Neuronal Plasticity; Newborn Infant; non-Native; Outcome; Parietal; Pathway interactions; Play; preference; public health relevance; Reading Disorder; relating to nervous system; Research; response; Rest; Risk; risk variant; Role; Sampling; Severities; Shapes; Signal Transduction; Single Nucleotide Polymorphism; skills; Sleep; specific language impairment; Speech; Stimulus; Stream; Structure; Symptoms; System; Time; tractography; Voluntary Mutism; white matter; ,Neural Networks of Language Learning in Infancy: Insights from Neuroimaging,88102,ZRG1,Special Emphasis Panel ,,,2,35186,,35186,
9385283,R01,AI,5,N,11/13/2017,11/1/2017,10/31/2018,855,R01AI020211,SCHOOLS OF MEDICINE,PA-13-302,5R01AI020211-31,NIAID:386926\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,ATLANTA,UNITED STATES,MICROBIOLOGY/IMMUN/VIROLOGY,5,66469933,US,2384501,EMORY UNIVERSITY,GA,303224250,"Herpesviruses defuse host defense mechanisms to replicate, disseminate and sustain lifelong latency with the potential for reactivation. Murine cytomegalovirus (CMV) provides a tractable mammalian model that has provided significant insights into infection with human CMV as well as with other human herpesviruses such as HSV1. These viruses all share common mechanisms of blocking the antiviral consequences of premature cell death affecting dissemination, immune control and latency. In the past funding period, this model organism has unveiled novel functions of monocytes during viral infection as well as previously unsuspected role of necroptosis in host defense. These transformative discoveries included the fact that the cell death pathways unleashed during virus infection may be dysregulated during development or tissue homeostasis to cause death or inflammatory disease in the animal. Going forward, we have designed experiments to use our existing knowledge and resources to dissect interlinked mitochondrial and cytosolic cell death pathways in host defense, to unveil additional novel caspase-independent pathways that complement apoptosis and are targeted by CMV-encoded cell death suppressors.",1894294; ,"MOCARSKI, EDWARD S.;","BEISEL, CHRISTOPHER E",3/1/1984,10/31/2021,Acute; adaptive immunity; Address; Affect; Animal Model; Animals; Antibodies; Antiviral Agents; Apoptosis; Apoptosis Inhibitor; Apoptotic; arm; Automobile Driving; Biology; BIRC3 gene; CASP8 gene; Caspase; Cause of Death; Cell Death; Cell Survival; Cells; cellular targeting; Cessation of life; complement pathway; cytokine; Cytomegalovirus; cytotoxic; Cytotoxic T-Lymphocytes; Deposition; design; Development; Disease; DNA biosynthesis; Endothelial Cells; Epithelial Cells; Equilibrium; experimental study; Family; fascinate; Funding; Genes; Germ Lines; Herpesviridae; Herpesvirus 1; Homeostasis; Host Defense; Host Defense Mechanism; Hour; Human; Human Herpesvirus 2; Immune; immune clearance; Immune response; Immunomodulators; Infection; Infection prevention; Inflammatory; Information Dissemination; insight; Interferon Receptor; Interferons; IRF3 gene; Knowledge; Life; macrophage; Mammals; Mediating; Mitochondria; Mitogen-Activated Protein Kinases; Modeling; monocyte; Murid herpesvirus 1; Mus; Mutant Strains Mice; N-terminal; Natural Immunity; Natural immunosuppression; Necrosis; novel; Nucleic Acids; pathogen; Pathogenesis; Pathway interactions; Phase; Phosphotransferases; Play; premature; prevent; Primates; Production; Protein Kinase; Race; Rage; receptor; Resources; RIPK1 gene; RIPK3 gene; Rodent; Role; RRM1 gene; sensor; Serine Protease; Signal Transduction; Simplexvirus; Site; System; T cell response; tissue tropism; Tissues; TNF gene; Tropism; Viral; Viral Pathogenesis; Virus; Virus Diseases; Virus Inhibitors; War; ,Cytomegalovirus DNA Replication and Inversion,20211,VIRA,Virology - A Study Section ,,,31,250000,136926,386926,
9389517,F30,HD,5,N,11/16/2017,11/16/2017,11/15/2018,865,F30HD081865,SCHOOLS OF MEDICINE,PA-11-110,5F30HD081865-04,NICHD:40879\,"TRAINING, INDIVIDUAL",2018,EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH & HUMAN DEVELOPMENT,,CHAPEL HILL,UNITED STATES,OTHER BASIC SCIENCES,4,608195277,US,578206,UNIV OF NORTH CAROLINA CHAPEL HILL,NC,275990001,"PUBLIC HEALTH RELEVANCE: Activation of apoptosis (programmed cell death) is critical for the development of the embryo, and failure to induce cell death leads to embryonic lethality with significant defects in the nervous system. In this research proposal I will investigate a novel apoptotic pathway engaged by embryonic stem cells and neural precursor cells, the actively dividing cells in the brain that give rise to new neurons. Because birth defects and neurodevelopmental disorders are serious threats to maternal and child health, these studies are essential in clarifying the mechanisms that underlie cell death during embryonic and fetal development.",10981792; ,"NAKAMURA, AYUMI ;","HENKEN, DEBORAH B",11/16/2014,11/15/2018,Animals; Apoptosis; Apoptotic; apoptotic protease-activating factor 1; Bax protein; bcl-xlong protein; BCL2 gene; BCL2L1 gene; Binding; Brain; Brain region; Bypass; Caenorhabditis elegans; CASP3 gene; CASP9 gene; Caspase; Cell Death; Cell Line; cell type; Cells; Cellular biology; Cessation of life; Complex; Congenital Abnormality; cranium; cytochrome c; Cytoplasm; Data; Defect; Development; developmental disease/disorder; Dorsal; Embryo; Embryonic and Fetal Development; Embryonic Development; embryonic stem cell; Enterobacteria phage P1 Cre recombinase; Event; Exencephalies; Exhibits; Failure; Homeostasis; Homologous Gene; Hyperplasia; in vivo; Invertebrates; knock-down; Knockout Mice; Knowledge; Lead; Maintenance; Mammalian Cell; Mass Spectrum Analysis; Maternal and Child Health; Mediating; Mitochondria; Modeling; Molecular Conformation; Mus; nerve stem cell; nervous system disorder; Nervous system structure; neural precursor cell; Neural Tube Closure; Neuraxis; Neurodevelopmental Disorder; Neurons; novel; Organ; Pathogenesis; Pathway interactions; Phenotype; postnatal; pro-apoptotic protein; programs; Protein Isoforms; Proteins; public health relevance; Research Proposals; Reverse Transcriptase Polymerase Chain Reaction; small hairpin RNA; Small Interfering RNA; small molecule inhibitor; Telencephalon; Testing; Tissues; virtual; WD Repeat; ,Identification of a novel apoptotic pathway in the developing mammalian embryo,81865,ZRG1,Special Emphasis Panel ,,,4,40879,,40879,
9395761,F30,AG,1,N,8/1/2017,9/1/2017,8/31/2018,866,F30AG057108,SCHOOLS OF MEDICINE,PA-16-305,1F30AG057108-01,NIA:47802\,"TRAINING, INDIVIDUAL",2017,NATIONAL INSTITUTE ON AGING,,MINNEAPOLIS,UNITED STATES,BIOCHEMISTRY,5,555917996,US,1450402,UNIVERSITY OF MINNESOTA,MN,554552070,Relevance The aging process has immense effect on muscle dysfunction and the prevalence of metabolic diseases such as obesity and diabetes. This project aims to elucidate the role and structural dynamics of a recently identified super-relaxed (SRX) state of myosin in aging muscle and its role in muscular thermogenesis. This work will further the understanding on myosin?s mechanism of action at the molecular level and will inform future therapeutic designs for obesity and diabetes treatments.,12097490; ,"PHUNG, LIEN AI;","WILLIAMS, JOHN",9/1/2017,4/30/2022,Actins; Address; Adipose tissue; Affect; Age; age related; aged; Aging; Aging-Related Process; Animals; ATP Hydrolysis; ATP phosphohydrolase; Attenuated; attenuation; Basal metabolic rate; base; Binding; Biochemistry; Biological Assay; Biological Process; Biophysics; Body Temperature; Body Weight; Calcium; Chemicals; Cues; Data; design; Development; Diabetes Mellitus; Diabetic mouse; Disease; Disease model; Doctor of Philosophy; Elderly; Energy Metabolism; Estradiol; Fellowship; Female; Fluorescence; Fluorescence Resonance Energy Transfer; Fostering; Functional disorder; Future; genetic regulatory protein; Goals; Gonadal Steroid Hormones; Health Status; Hormonal; Immunochemistry; Impairment; improved; In Vitro; Incidence; Individual; innovation; insight; Insulin; Kinetics; kinetosome; Knowledge; lens; Life; Light; Link; link protein; male; Maps; Measures; Mechanics; Medical; men; Metabolic; Metabolic Diseases; metabolic rate; Microscopy; Mission; Molecular; molecular dynamics; Molecular Mechanisms of Action; mouse model; Mus; Muscle; muscle aging; Muscle Contraction; Muscle Fibers; Muscle function; muscle physiology; Muscle Weakness; Myopathy; Myosin ATPase; Nature; novel; novel therapeutics; Nucleotides; Obese Mice; Obesity; obesity treatment; Optics; Phosphorylation; Physically Handicapped; Physicians; Physiological; Physiology; Play; Population; Postmenopause; Predisposition; Prevalence; Problem Solving; Production; Proteins; Regulation; Research Personnel; response; Rest; Role; sarcopenia; Scientist; sex; Site; skeletal; Skeletal Muscle; Skin; small molecule therapeutics; Specificity; Spectrum Analysis; Structure; Technology; Technology Transfer; Temperature; Testing; Therapeutic; therapeutic target; Thermogenesis; Thick Filament; Time; tool; Training; training opportunity; Translational Research; Vertebral column; Woman; Work; ,Structural Dynamics of the Myosin Super Relaxed State in Aging Muscle and Metabolic Disease,57108,ZRG1,Special Emphasis Panel ,,,1,47802,,47802,
9398582,F31,NS,1,N,5/17/2017,11/17/2017,,853,F31NS103736,SCHOOLS OF MEDICINE,PA-16-308,1F31NS103736-01,NINDS:43576\,"TRAINING, INDIVIDUAL",2017,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,,PHILADELPHIA,UNITED STATES,NONE,2,42250712,US,6463801,UNIVERSITY OF PENNSYLVANIA,PA,191046205,"Autism spectrum disorders (ASD) are neurodevelopmental abnormalities characterized by deficits in social interaction/communication and restricted, repetitive behaviors. While ASD exhibits significant heritability, the underlying genetic architecture is complex, and thus common pathophysiological mechanisms for autism remain elusive. This proposal aims to uncover a recurrent site for physiological dysfunction in ASD-related motor behaviors by forging a link between synaptic dysfunction and associated motor abnormalities across multiple genetic models for ASD.",11183429; ,"DAVATOLHAGH, MARIEXCEL FELICIA;","MAMOUNAS, LAURA",11/17/2017,,Acute; Adhesions; Alleles; Architecture; autism spectrum disorder; Autistic Disorder; Automobile Driving; Behavior; behavior measurement; Behavioral; Candidate Disease Gene; candidate identification; Cell Adhesion Molecules; Cells; Communication; Complement; Complex; Corpus striatum structure; Data; Defect; Development; Disease; Dopamine D1 Receptor; Dopamine Receptor; Electrophysiology (science); endophenotype; Enterobacteria phage P1 Cre recombinase; Equilibrium; Exhibits; experimental study; feeding; forging; Functional disorder; Genes; Genetic; genetic association; Genetic Models; Genetic study; Heritability; Human Genetics; Impairment; improved; In Vitro; in vivo; Inhibitory Synapse; Injection of therapeutic agent; Knock-out; Knockout Mice; Learning; Length; Link; Location; loss of function; Maintenance; Measurement; Measures; Mediating; Motor; motor learning; Motor output; mouse model; Mus; mutant; Mutant Strains Mice; Mutation; Nature; neural circuit; Neurodevelopmental Disorder; neuroligin 3; Neurons; novel; Nucleus Accumbens; Output; Pathogenesis; Performance; Phenotype; Physiological; Physiology; Population; postsynaptic; Preparation; presynaptic; Proteins; PTEN gene; Recurrence; repetitive behavior; Research; retinal rods; Site; Slice; Social Interaction; Stereotyped Behavior; Stereotyping; Synapses; synaptic function; synaptic inhibition; Synaptic Transmission; Testing; Training Programs; Transgenic Mice; transmission process; Viral; ,Altered nucleus accumbens activity as a shared neural circuit defect for autism-related motor behaviors,103736,ZRG1,Special Emphasis Panel ,,,1,43576,,43576,
9422165,R01,AI,1,N,11/10/2017,11/13/2017,10/31/2018,855,R01AI134729,BIOMED ENGR/COL ENGR/ENGR STA,PA-16-160,1R01AI134729-01,NIAID:493126\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,SEATTLE,UNITED STATES,BIOMEDICAL ENGINEERING,7,605799469,US,9087701,UNIVERSITY OF WASHINGTON,WA,981959472,"PROJECT NARRATIVE Lung infections remain a major public health challenge across the developed and developing world, with diseases such as tuberculosis and melioidosis causing high mortality and morbidity. Effective antibiotic treatment to combat intracellular lung infections remains an unmet need, and the well documented emergence of drug resistance, combined with the different dosing requirements of individual antibiotics, creates a need to target combination drugs to alveolar macrophages with carefully tailored release profiles. The overarching goal of this proposal is to develop a macromolecular therapeutic platform that meets these significant areas of need in global health using advanced polymer chemistry and molecular engineering. !",6623689; 1898012; 2414340 (contact); 8053708; ,"RATNER, DANIEL M.; SKERRETT, SHAWN J.; STAYTON, PATRICK S. (contact); WEST, TIMOTHY EOIN;","FRANCESCHI, FRANCOIS J",11/13/2017,10/31/2022,aerosolized; Aerosols; Alveolar; Alveolar Macrophages; Aminoglycoside Antibiotics; analytical method; Anti-Infective Agents; Antibiotic Therapy; Antibiotics; antimicrobial; Architecture; Area; Bacteria; Bacterial Infections; bactericide; base; beta-Lactams; Biodistribution; Biological Availability; biomaterial compatibility; biosafety level 3 facility; biothreat; Blood; Breathing; Burkholderia pseudomallei; Carbapenems; Chlamydophila Infections; Ciprofloxacin; Clinical; clinical development; Clinical Investigator; Clinical Pathways; Clinical Trials; combat; Combined Antibiotics; controlled release; cost; Custom; design; Development; Disease; Disease model; Dose; Drug Combinations; Drug Kinetics; Drug resistance; Engineering; Enzymes; Evaluation; Exhibits; experimental study; Family; Fluoroquinolones; Formulation; Francisella; Francisella tularensis; Future; global health; Goals; Histologic; Human; in vivo; Individual; Infection; intravenous administration; Lead; Legionellosis; Libraries; liquid chromatography mass spectrometry; Lung; lung basal segment; macrophage; Mannose; Measures; Medical; Melioidosis; Minimum Inhibitory Concentration measurement; Modeling; Molecular; monomer; Morbidity - disease rate; Morphology; mortality; mouse model; multidisciplinary; Mus; Mycobacterium Infections; nanoparticle; novel strategies; novel therapeutics; Oral Administration; Organ; pathogen; Pathology; Patient-Focused Outcomes; Pharmaceutical Preparations; Pneumonia; Polymer Chemistry; polymerization; Polymers; Polysaccharides; Population; Process; Prodrugs; Production; Property; Public Health; Pulmonary tularemia; Q Fever; Reporting; Route; Safety; Schedule; Site; Structure; synthetic construct; System; Testing; Therapeutic; Time; Toxic effect; translation to humans; Tuberculosis; Tularemia; Universities; Upper Respiratory Infections; uptake; Washington; ,Engineered Antimicrobial Platform to Target Pulmonary Intracellular Infections,134729,DDR,Drug Discovery and Mechanisms of Antimicrobial Resistance Study Section ,,,1,324140,168986,493126,
9444994,R01,AI,2,N,11/14/2017,11/15/2017,10/31/2018,855,R01AI064462,SCHOOLS OF MEDICINE,PA-16-160,2R01AI064462-11A1,NIAID:390000\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,ATLANTA,UNITED STATES,PATHOLOGY,5,66469933,US,2384501,EMORY UNIVERSITY,GA,303224250,"PROJECT NARRATIVE The mammalian gut microbiota is a complex and vast microbial community that influences a wide range of normal physiological functions in the intestine and in the body as a whole, and when quantitatively or qualitatively disturbed, can contribute to a wide and increasingly recognized range of inflammatory, immune, infectious and metabolic diseases. This proposal will use state of the art bioexclusion technology to maintain mice with highly specific and controlled microbiota and evaluate roles of specific bacteria on normal and pathological processes. This work aims to identify novel beneficial bacteria and mechanistically define how these bacteria can contribute to health.",1866923; ,"NEISH, ANDREW S.;","MILLS, MELODY",7/1/2006,10/31/2022,Animals; Bacteria; Bifidobacterium; Biochemical; Biological Assay; Biology; cell growth; cell growth regulation; Cell Proliferation; Colitis; commensal microbes; Communicable Diseases; Communities; Complex; Data; Development; Differentiation and Growth; Disease model; Enterobacteriaceae; Enzymes; Epithelial; Epithelium; Escherichia coli; Event; gastrointestinal; gastrointestinal epithelium; Gene Expression; gene product; Generations; Genetic Transcription; Germ-Free; Gnotobiotic; gut microbiota; Health; Homeostasis; human disease; Immune; Immune System Diseases; in vivo; Individual; Inflammatory; Injury; intestinal epithelium; intestinal homeostasis; Intestines; Lactobacillus; Link; Long-Term Effects; Maintenance; Mediating; member; Metabolic Diseases; Microbe; microbial; microbial community; microbial host; microbiota; migration; Modeling; Mucous Membrane; Mus; mutant; NADPH Oxidase; Neonatal; Newborn Animals; Normal Range; novel; Organism; Oxidation-Reduction; Participant; pathogenic bacteria; Pathologic; Pathologic Processes; Pathway interactions; Perception; Permeability; Phagocytes; Physiological; Physiology; Probiotics; Process; Production; Property; Reaction; Reactive Oxygen Species; Reporting; response; Role; Second Messenger Systems; Signal Pathway; Signal Transduction; Signal Transduction Pathway; Signaling Protein; Structure; Surface; Symbiosis; System; targeted treatment; Taxonomy; Technology; Tissues; Work; Wound Healing; ,Microbial Influence on Mucosal Homeostasis,64462,GMPB,Gastrointestinal Mucosal Pathobiology Study Section ,,A1,11,250000,140000,390000,
