APPLICATION_ID,ACTIVITY,ADMINISTERING_IC,APPLICATION_TYPE,ARRA_FUNDED,AWARD_NOTICE_DATE,BUDGET_START,BUDGET_END,CFDA_CODE,CORE_PROJECT_NUM,ED_INST_TYPE,FOA_NUMBER,FULL_PROJECT_NUM,FUNDING_ICs,FUNDING_MECHANISM,FY,IC_NAME,NIH_SPENDING_CATS,ORG_CITY,ORG_COUNTRY,ORG_DEPT,ORG_DISTRICT,ORG_DUNS,ORG_FIPS,ORG_IPF_CODE,ORG_NAME,ORG_STATE,ORG_ZIPCODE,PHR,PI_IDS,PI_NAMEs,PROGRAM_OFFICER_NAME,PROJECT_START,PROJECT_END,PROJECT_TERMS,PROJECT_TITLE,SERIAL_NUMBER,STUDY_SECTION,STUDY_SECTION_NAME,SUBPROJECT_ID,SUFFIX,SUPPORT_YEAR,DIRECT_COST_AMT,INDIRECT_COST_AMT,TOTAL_COST,TOTAL_COST_SUB_PROJECT
9471671,R01,HL,2,N,12/7/2017,12/15/2017,11/30/2018,837,R01HL075619,SCHOOLS OF MEDICINE,PA-16-160,2R01HL075619-14,NHLBI:468182\,Non-SBIR/STTR RPGs,2018,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE",,TUCSON,UNITED STATES,INTERNAL MEDICINE/MEDICINE,3,806345617,US,490201,UNIVERSITY OF ARIZONA,AZ,857210158,Project Narrative: Genetic cardiomyopathies caused by sarcomeric gene mutations represent common and complex clinical disorders that often effect young people. This complexity limits our ability to link genotype to phenotype and significantly limits our ability to treat patients. We have developed a robust integrated computational ? cellular ? whole heart approach that will improve our understanding of how independent mutations cause this complex disorder and lead to better therapeutic options,1928273; ,"TARDIFF, JIL C.;","ADHIKARI, BISHOW B",12/1/2003,11/30/2021,Actins; Actomyosin; Allosteric Regulation; Alternative Splicing; base; Biophysics; Calcium; calmodulin-dependent protein kinase II; Cardiac; Cardiomyopathies; cell motility; Chest; Clinical; Clinical Research; clinically relevant; cohort; Complex; Computer Simulation; Congenital cardiomyopathy; Coupled; Couples; design; Development; Differential Scanning Calorimetry; Dilatation - action; Dilated Cardiomyopathy; Disease; Disease Progression; Dissociation; efficacy testing; Energy Transfer; Exercise; Exhibits; fetal; Fiber; flexibility; Funding; Gene Mutation; Genes; Genotype; genotyped patients; Heart; Heart Hypertrophy; Human Genetics; Hypertrophic Cardiomyopathy; improved; In Vitro; in vivo; Individual; inhibitor/antagonist; innovation; insight; Intervention; Kinetics; Lead; Link; Measurement; Measures; Mediating; Modeling; Molecular; mouse model; Mutation; N-terminal; Natural History; new therapeutic target; Nodal; novel; Pathogenesis; Pathogenicity; Pathologic; Pathway interactions; Patients; Peptides; Performance; Phenotype; Phosphorylation; Physiology; Positioning Attribute; prevent; Proteins; reconstitution; Relaxation; Research; Resolution; Rest; Role; sarcomeric cardiomyopathy; Seminal; SERCA2a; Signal Transduction; Site; Skin; stressor; Symptoms; System; Testing; Tetanus Helper Peptide; Therapeutic; Therapeutic Intervention; Thin Filament; Time; Tropomyosin; Troponin T; uptake; Ventricular Remodeling; Work; ,Integrative Approach to Divergent Remodeling in Thin Filament Cardiomyopathies,75619,ZRG1,Special Emphasis Panel ,,,14,308968,159214,468182,
9472216,R01,AI,1,N,12/11/2017,12/12/2017,11/30/2018,855,R01AI136468,SCHOOLS OF MEDICINE,PA-16-160,1R01AI136468-01,NIAID:614597\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,SEATTLE,UNITED STATES,VETERINARY SCIENCES,7,605799469,US,9087701,UNIVERSITY OF WASHINGTON,WA,981959472,"Project Narrative This proposal addresses the context-dependent manner by which versican, a component of the extracellular matrix, modulates the innate immune response to influenza virus. Studies to date indicate that versican can have either pro- or anti-inflammatory roles depending on its cellular source or the signaling pathway by which it is produced. Better understanding of these dual roles of versican will enable development of unique targeting strategies for improving the immune response to viral lung infection.",2121229; 1884784 (contact); ,"ALTEMEIER, WILLIAM A; FREVERT, CHARLES WAYNE (contact);","HAUGUEL, TERESA M",12/12/2017,11/30/2022,Address; Adhesions; Agonist; Alpha Cell; Anti-inflammatory; Anti-Inflammatory Agents; Bacteria; beta catenin; Biological; Cause of Death; Cell Culture Techniques; cell type; Cells; chemokine; Chemotaxis; Chondroitin Sulfate A; Cues; cytokine; Data; design; Development; Embryonic Development; Exposure to; extracellular; Extracellular Matrix; Fibroblasts; Generations; Genes; Genetically Engineered Mouse; Glycosaminoglycans; Immune response; immunoregulation; improved; In Vitro; Infection; Inflammatory; influenzavirus; Innate Immune Response; Interferon Type I; Interferons; Interleukin-10; Laboratories; Leukocytes; Liquid substance; Lung; Lung Inflammation; macrophage; migration; Modeling; mouse model; Mus; Natural Immunity; novel; Pathway interactions; Phenotype; Poly I-C; Population; Production; Property; Proteoglycan; Public Health; Publishing; Recovery; Research; response; Role; Signal Pathway; Signal Transduction; Smooth Muscle Myocytes; Source; Specificity; Stromal Cells; Structure of parenchyma of lung; TCF Transcription Factor; Testing; Therapeutic; Time; Toll-like receptors; transcription factor; type I interferon receptor; United States; versican; Viral; Virus; Work; ,Impact of versican deficiency on the innate immune response to influenza virus,136468,ZRG1,Special Emphasis Panel ,,,1,349203,265394,614597,
9481627,R34,MH,1,N,12/11/2017,12/13/2017,11/30/2018,242,R34MH115775,SCHOOLS OF ARTS AND SCIENCES,PA-17-166,1R34MH115775-01,NIMH:137079\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF MENTAL HEALTH,,RICHMOND,UNITED STATES,PSYCHOLOGY,3,105300446,US,353201,VIRGINIA COMMONWEALTH UNIVERSITY,VA,232980568,"Project Narrative  Transgender women (TGW) face persistent discrimination and structural disadvantages including high rates of unemployment, unstable housing, poverty, and dramatically elevated rates of HIV. The proposed research, using a randomized experimental design, seeks to develop and test an integrated microeconomic intervention, and to assess the feasibility and efficacy of the intervention to improve the financial status of TGW and to reduce participation in high-risk income-generation strategies.",3079622 (contact); 1963601; ,"BENOTSCH, ERIC G (contact); ZIMMERMAN, RICK S.;","ALLISON, SUSANNAH",12/13/2017,11/30/2020,Address; Affect; African American; AIDS prevention; Alcohol or Other Drugs use; Area; arm; Attitude; base; Behavioral; Businesses; Cities; Clinical Services; Color; Communication; Communities; cost; Data; design; Disadvantaged; Discrimination; economic outcome; Economically Deprived Population; Economics; Education; Employment; empowerment; Evaluation; evidence base; experience; Experimental Designs; experimental study; Exposure to; Face; Female; Financial Support; gender transition; General Population; Generations; Goals; Government Agencies; Grant; Health Services; high risk; high risk sexual behavior; HIV; HIV risk; Housing; housing instability; Illicit Drugs; improved; Incidence; Income; Individual; Industry; informant; Internships; Intervention; Interview; Latina; Lead; Link; Logistics; low income country; male; Medical; Mentors; metropolitan; Occupations; Personal Financing; Pharmaceutical Preparations; Poverty; pre-exposure prophylaxis; preference; Prevalence; Prevention strategy; Preventive Intervention; programs; psychiatric symptom; psychosocial; Randomized; Readiness; Research; Research Design; Resources; Risk; Risk Behaviors; Services; sex; Sex Behavior; sexual risk taking; sexual victimization; sexual violence; skills; social; Testing; therapy design; Time; Training; transgender; transgender women; transmission process; Treatment Efficacy; Unemployment; Unsafe Sex; uptake; Work; ,Microeconomic Intervention to Reduce HIV Transmission in Economically Disadvantaged Transgender Women,115775,BSPH,Behavioral and Social Science Approaches to Preventing HIV/AIDS Study Section ,,,1,91093,45986,137079,
9581870,R56,HG,2,N,12/15/2017,12/15/2017,11/30/2018,172,R56HG005946,SCHOOLS OF MEDICINE,PA-16-160,2R56HG005946-07,NHGRI:450000\,Non-SBIR/STTR RPGs,2018,NATIONAL HUMAN GENOME RESEARCH INSTITUTE,,SAN FRANCISCO,UNITED STATES,INTERNAL MEDICINE/MEDICINE,12,94878337,US,577508,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,941186215,"Public Health Relevance Statement We have combined technologies based on single molecules to achieve de novo genome sequence assembly with phasing and genome-wide structural variation identification, which fully describe the diploid human genome. In this project, we propose to produce, efficiently and at low cost, phased genome sequence assemblies of all 26 ethnic groups from the 1000 Genomes Project to serve as general references for the community. In addition, we will further develop the technology to map repetitive elements that are difficult to interrogate genome-wide, and to precisely phase target regions over a long range.",1879371 (contact); 6621637; ,"KWOK, PUI-YAN  (contact); XIAO, MING ;","SMITH, MICHAEL",9/27/2010,11/30/2018,Address; Area; base; Cell Line; Centromere; Collaborations; Communities; cost; CRISPR/Cas technology; Data; design; Development; Diploidy; DNA; Ethnic group; experimental study; fluorophore; Genome; genome analysis; Genome Mappings; genome sequencing; genome-wide; Genomic DNA; Genomics; Guide RNA; Haplotypes; Human; Human Genome; human reference genome; Image Analysis; Individual; insight; instrument; Label; Link; Maps; Medical; Methods; nanochannel; Occupations; Pattern; Phase; Population; Protocols documentation; public health relevance; Repetitive Sequence; Research; RNA Sequences; single molecule; software development; success; Technology; technology development; telomere; Variant; whole genome; ,High throughput single molecule approaches for phased genome sequence assembly,5946,ZRG1,Special Emphasis Panel ,,,7,355245,94755,450000,
9591100,R33,AI,4,N,12/12/2017,12/13/2017,11/30/2018,855,R33AI121644,SCHOOLS OF MEDICINE,RFA-AI-14-066,4R33AI121644-03,NIAID:471477\,Non-SBIR/STTR RPGs,2018,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,,BOSTON,UNITED STATES,INTERNAL MEDICINE/MEDICINE,7,604483045,US,894901,BOSTON UNIVERSITY MEDICAL CAMPUS,MA,21182340,PUBLIC HEALTH RELEVANCE: This R21/R33 application is a test of concept study and potentially able to facilitate the development of a novel therapy for bacterial infections. We propose to develop a novel method and generate miR-15a/16 inhibitor- enriched exosomes which enhance the phagocytosis and clearance of antibiotic-resistant bacteria.,8190364; ,"JIN, YANG ;","XU, ZUOYU",12/13/2015,11/30/2020,acute toxicity; alternative treatment; Antibiotic Resistance; Antibiotics; Apoptosis; Attenuated; Bacteria; Bacterial Infections; bacterial resistance; bactericide; base; BCL2 gene; Biodistribution; Biological Availability; Bone Marrow; Cell model; cell type; Cells; Competence; cytotoxicity; Data; Development; Encapsulated; Epithelial Cells; exosome; Extracellular Matrix; Family; Frequencies; Future; Generations; Genes; Genetic; Half-Life; Health; high reward; high risk; Immunity; immunoregulation; improved outcome; In Vitro; in vivo; in vivo Model; Inflammatory; inhibitor/antagonist; Innate Immune Response; Knock-in; Knockout Mice; Ligation; Lung; macrophage; Mediating; Methods; microbial; microbicide; MicroRNAs; Modeling; mortality; mouse model; Mus; Myeloid Cells; novel; novel strategies; novel therapeutics; Organ Specificity; Outcome; Pathway interactions; Patient-Focused Outcomes; Patients; Phagocytes; Phagocytosis; Phase; phrases; public health relevance; Publishing; Puncture procedure; Reactive Oxygen Species; resistant strain; RNA; Sepsis; septic; Site; Social Welfare; Specificity; targeted delivery; Testing; Therapeutic; Therapeutic Agents; Therapeutic Intervention; TLR4 gene; TNFRSF6 gene; Toxic effect; uptake; ,"Development of the RNA molecule-enriched, cell type-specific exosomes",121644,ZAI1,Special Emphasis Panel ,,,3,300000,171477,471477,
9594436,R01,MH,7,N,12/11/2017,11/15/2017,5/31/2018,242,R01MH103910,BIOMED ENGR/COL ENGR/ENGR STA,PA-16-285,7R01MH103910-06,NIMH:997375\NINDS:934247\,Non-SBIR/STTR RPGs,2017,NATIONAL INSTITUTE OF MENTAL HEALTH,,PHILADELPHIA,UNITED STATES,BIOMEDICAL ENGINEERING,2,42250712,US,6463801,UNIVERSITY OF PENNSYLVANIA,PA,191046205,"PUBLIC HEALTH RELEVANCE: The proposed research is relevant to public health because it will result in a tool, a molecular neural activity recorder, that will enable substantial progress n wide areas of neuroscience, both basic and clinical. Hence, the proposed research is relevant to the part of NIH's mission that pertains to foster fundamental creative discoveries, innovative research strategies, and their applications as a basis for ultimately protecting and improving health.",8840558; 1925956; 8875032 (contact); ,"BOYDEN, EDWARD S.; CHURCH, GEORGE M; KORDING, KONRAD P. (contact);","FREUND, MICHELLE",9/26/2013,5/31/2018,,Recording neural activities onto DNA,103910,ZRG1,Special Emphasis Panel ,,,6,1738577,193045,1931622,
9598068,R01,CA,3,N,12/13/2017,12/1/2017,11/30/2018,396,R01CA201340,SCHOOLS OF MEDICINE,PA-13-302,3R01CA201340-03S1,NCI:89468\,Non-SBIR/STTR RPGs,2018,NATIONAL CANCER INSTITUTE,,ATLANTA,UNITED STATES,INTERNAL MEDICINE/MEDICINE,5,66469933,US,2384501,EMORY UNIVERSITY,GA,303224250,"PUBLIC HEALTH RELEVANCE: LKB1 is mutated in 20-30% of non-small cell lung cancers and ranks as the 3rd most frequently mutated gene in lung adenocarcinoma. LKB1 loss drives cancer metastasis; therefore, we will dissect LKB1 function in vitro and in vivo to understand the link between LKB1 loss and cancer metastasis.",6124508; 7797023 (contact); ,"GILBERT-ROSS, MELISSA ; MARCUS, ADAM I. (contact);","AULT, GRACE S",12/16/2015,11/30/2020,3-Dimensional; Address; Adhesions; Agreement; Animal Model; base; Basement membrane; Biological; cancer cell; Cancer Model; Cancer Patient; Cell Adhesion; cell motility; Cell Polarity; Cells; Cellular Metabolic Process; Clinical; Collagen; Collagen Fiber; Data; defined contribution; Drosophila genus; Drosophila melanogaster; Epithelial; Epithelium; Exhibits; Extracellular Matrix; Family member; Focal Adhesion Kinase 1; Genes; Genetic; Genetic Engineering; Goals; Human; In Vitro; in vivo; innovation; Invaded; KRAS2 gene; Link; Lung Adenocarcinoma; Lung Neoplasms; Malignant neoplasm of lung; Mesenchymal; Metastatic Neoplasm to the Lung; Modeling; Mosaicism; mouse model; Mus; mutant; Mutate; Mutation; Neoplasm Metastasis; neoplastic cell; Non-Small-Cell Lung Carcinoma; novel; Outcome; Pathway interactions; Patients; Phenotype; Phosphotransferases; Primary Neoplasm; Protein-Serine-Threonine Kinases; Proteomics; public health relevance; Publishing; Regulation; Reporting; sequencing platform; Signal Pathway; Signal Transduction; Signaling Molecule; STK11 gene; System; targeted treatment; Testing; Time; tumor; Tumor Bank; Tumor Initiators; tumor microenvironment; tumor progression; Tumor stage; Work; ,Defining Early Escape Strategies in LKB1 Mutant Lung Cancer,201340,TPM,Tumor Progression and Metastasis Study Section ,,S1,3,57351,32117,89468,
9605403,R01,NS,7,N,12/15/2017,11/28/2017,6/30/2018,853,R01NS091307,SCHOOLS OF MEDICINE,PA-16-285,7R01NS091307-04,NINDS:301018\,Non-SBIR/STTR RPGs,2017,NATIONAL INSTITUTE OF NEUROLOGICAL DISORDERS AND STROKE,,DURHAM,UNITED STATES,BIOSTATISTICS & OTHER MATH SCI,1,44387793,US,2221101,DUKE UNIVERSITY,NC,277054673,"PUBLIC HEALTH RELEVANCE:  This project provides statistical analysis methods for large clinical trial datasets where multiple health outcomes are measured at multiple visits. Methods are applied to two double-blind, placebo-controlled multi-site randomized phase III clinical trials of Parkinson's disease to provide a clear and simple clinical interpretation of the overall treatment effects.",9699506; ,"LUO, SHENG ;","GILBERT, PETER R",11/28/2017,6/30/2019,,Statistical Methods for Clinical Trials with Multivariate Longitudinal Outcomes,91307,ZRG1,Special Emphasis Panel ,,,4,205794,95224,301018,
9605598,R01,AG,7,N,12/14/2017,12/15/2017,5/31/2018,866,R01AG051510,SCHOOLS OF MEDICINE,PA-16-285,7R01AG051510-04,NIA:197326\,Non-SBIR/STTR RPGs,2017,NATIONAL INSTITUTE ON AGING,,CLEVELAND,UNITED STATES,NEUROSCIENCES,11,77758407,US,218601,CASE WESTERN RESERVE UNIVERSITY,OH,441061712,"PUBLIC HEALTH RELEVANCE: This proposal will test an innovative hypothesis that NMJ function in aged animals depends on agrin signaling. Results will reveal the role of agrin signaling in NMJ maintenance during aging and identify novel mechanisms controlling LRP4 stability and mediating agrin signaling to promote NMJ maintenance. Such knowledge may contribute to a better understanding of NMJ decline and muscle aging, which is prerequisite to the development of effective therapeutic interventions for NMJ decline and muscle aging.",8130877; ,"MEI, LIN ;","WILLIAMS, JOHN",9/30/2015,5/31/2020,,Agrin Signaling in Maintaining Neuromuscular Junction in Aging,51510,ZAG1,Special Emphasis Panel ,,,4,123329,73997,197326,
9607661,R03,DK,7,N,12/13/2017,12/5/2017,7/31/2018,847,R03DK114463,,PA-16-285,7R03DK114463-02,NIDDK:77321\,Non-SBIR/STTR RPGs,2017,NATIONAL INSTITUTE OF DIABETES AND DIGESTIVE AND KIDNEY DISEASES,,PHILADELPHIA,UNITED STATES,,2,73757627,US,1499101,CHILDREN'S HOSP OF PHILADELPHIA,PA,191044318,"PROJECT NARRATIVE This proposal will provide a foundation for understanding regulation of intestinal epithelial homeostasis and disease through new mechanisms, namely the RNA binding protein, IMP1. These studies will dissect the molecular mechanisms governing IMP1 regulation of autophagy, which is defective in some human diseases including Crohn's disease. Advances made with these studies will allow for the development of new therapeutic strategies that may augment the autophagy pathway in order to restore intestinal epithelial homeostasis.",10713067; ,"HAMILTON, KATHRYN ELIZABETH;","SASLOWSKY, DAVID E",8/15/2017,7/31/2019,,IMP1 REGULATION OF AUTOPHAGY IN THE INTESTINAL EPITHELIUM,114463,ZDK1,Special Emphasis Panel ,,,2,44954,32367,77321,
